id,"ctime","turbo_id","pair","direction","contract","return","strategy",timeleft
24292,"2017-06-23 07:02:44","AMeJ2fscDw9k4h6ZS","NZD-USD","long","1min","-100000","atr:cci:stochs",37
24293,"2017-06-23 07:02:45","fcnTc3qxk24SZoJTm","NZD-USD","long","1min","-100000","atr:mfi:stochs",37
24294,"2017-06-23 07:02:46","qNQrvuWPdTY8xbdZb","NZD-USD","long","1min","-100000","atr:stochs",37
24295,"2017-06-23 07:03:47","SES7yHn2WtSZT2fcJ","USD-MXN","short","1min","55000","ao:macd",15
24296,"2017-06-23 07:03:49","2GGWrFW7SRrknkGC3","AUD-USD","short","1min","-100000","atr:fsar",15
24297,"2017-06-23 07:04:01","bzR8SMfvAKjAzAnCd","USD-CNH","long","1min","55000","atr:cci:dragonflydoji:mfi",1
24298,"2017-06-23 07:04:03","YgNHDhJkJcpXZRee5","USD-CNH","long","1min","55000","cci:dragonflydoji:mfi",1
24299,"2017-06-23 07:04:04","FsPNZHmMWAyH8jN5F","USD-CNH","long","1min","55000","atr:cci:dragonflydoji",1
24300,"2017-06-23 07:04:05","kKXjA3mT2E9amCaYy","USD-CNH","long","1min","55000","cci:dragonflydoji",1
24301,"2017-06-23 07:04:07","kdT2hs8vmPgwMr4ML","USD-CHF","long","1min","-100000","dragonflydoji:mfi",1
24302,"2017-06-23 07:04:09","fj48zWiSGX5nAPdD7","USD-CHF","long","1min","-100000","atr:dragonflydoji:mfi",1
24303,"2017-06-23 07:04:10","mhtMuRhim8dxHvB2X","USD-CHF","long","1min","-100000","atr:dragonflydoji",1
24304,"2017-06-23 07:04:26","5adkf6ncFHgnAFcpu","AUD-USD","long","1min","-100000","bullish:mfi",36
24305,"2017-06-23 07:04:43","BfHwL822u5uq4dTKH","USD-JPY","long","1min","-100000","bearish:macd:mfi",19
24306,"2017-06-23 07:04:44","ay2JA28AREcDQoxqZ","USD-JPY","long","1min","-100000","bearish:macd",19
24307,"2017-06-23 07:05:02","H7jksk8RwFY9kDFrh","USD-MXN","long","1min","-100000","bearish:dragonflydoji",0
24308,"2017-06-23 07:05:03","TL3RpQuaDw6D9ZZA5","USD-MXN","long","1min","-100000","bearish:dragonflydoji:mfi",0
24309,"2017-06-23 07:05:05","ZcKqDmTGncD8DTz4j","USD-MXN","long","1min","-100000","dragonflydoji:mfi",0
24310,"2017-06-23 07:05:06","oMAHtXr5b85fdKEnh","AUD-USD","short","1min","67000","atr:shootingstar",0
24311,"2017-06-23 07:05:22","E7MKF9FrJZKXahDLa","EUR-USD","long","1min","-100000","bearish:stochs",40
24312,"2017-06-23 07:05:24","Z5XWMBBPPE8pA9EsE","EUR-USD","long","1min","-100000","atr:bearish:stochs",40
24313,"2017-06-23 07:05:25","y8qEaj5ufXu3WmtT7","EUR-USD","long","1min","-100000","atr:bearish:mfi:stochs",40
24314,"2017-06-23 07:05:26","RmHJXPGRYpCPykZXh","EUR-USD","long","1min","-100000","bearish:mfi:stochs",40
24315,"2017-06-23 07:05:28","7PA3gqqaRdd5C5FEd","EUR-USD","long","1min","-100000","atr:stochs",40
24316,"2017-06-23 07:05:29","cdTFsMquus8MuX8Jt","EUR-USD","long","1min","-100000","atr:mfi:stochs",40
24317,"2017-06-23 07:05:31","7noWCMvmwn6XojbHg","EUR-USD","long","1min","-100000","mfi:stochs",40
24318,"2017-06-23 07:06:08","ka9Et2XKuqhaL9KLp","EUR-GBP","long","1min","-100000","ao:dragonflydoji:mfi",54
24319,"2017-06-23 07:06:09","Z63WwxnYtB6CbpChw","EUR-GBP","long","1min","-100000","ao:dragonflydoji",54
